title,Tree cover loss in Brazil
threshold,30
extent_year,2000
start_year,2001
end_year,2023
date_downloaded,2025-02-14
metadata,https://api.resourcewatch.org/v1/gfw-metadata/widget_tree_cover_loss
link,https://www.globalforestwatch.org/dashboards/country/BRA/
